TrainCategory,TrainID,Route
RØ,3429,[HG - SQ - GÆ - HUM - NI - OK - RU - HL - HGL - KK - KN - KH]
RØ,3467,[HG - SQ - GÆ - HUM - NI - OK - RU - HL - HGL - KK - KN - KH]
M,6431,[HGL - KK - KH - BAN - CPH]
RØ,2241,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - VY - BO - KY - RG - GZ - NÆ]
RØ,2270,[NÆ - GZ - RG - KY - BO - VY - RO - TRK - HH - HTÅ - GL - VAL - KH]
IC,416,[AR - KGV - SD - HÅ - HS - HED - VJ - BET - FA]
IC,2353,[ES - JNE - BM - GØ - HQ - BP - VN - LK - KD - TL - FA]
IC,4144,[ABL - LIH - ABV - AB - OG - SØ - AD - HB - FP - RD - LG - HA - HN - AR]
M,9000,[KH - KN - HG]
RØ,1573,[KK - KN - KH - VAL - HTÅ - HH - RO - LJ - HK - RT - KS - MØ - JY - SE - VÆ - KBØ - KB]
L,74,[AR - KGV - SD - HÅ - HS - HED - VJ - BET - FA]
IC,862,[ES - JNE - BM - GØ - VN - LK - KD - TL - MD - KA - OD - MV - NG - SPR - KØ - FO - SG - SO - FJ - RG - ADA - KJN - JSF - NEL - GB - KH - KN - KK]
RØ,4565,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - LJ - HV - TØ - PE - HK]
RØ,1537,[KK - KN - KH - VAL - HTÅ - HH - RO - LJ - HK - RT - KS - MØ - JY - SE - VÆ - KBØ - KB]
RØ,4461,[KH - GB - NEL - IG - KJN - ØLB - KJ - HF - TH - HZ - OL - NÆN - NÆ]
RØ,2416,[NÆ - NÆN - OL - HZ - TH - HF - KJ - ØLB - KJN - JSF - NEL - GB - KH - KN - KK]
RØ,2451,[KK - KN - KH - GB - NEL - IG - KJN - ØLB - KJ - HF - TH - HZ - OL - NÆN - NÆ]
L,649,[KH - GB - OD - HP - FA]
L,950,[SDB - GST - KW - TE - RQ - OJ - SST - VM - LK - KD - TL - FA]
IC,428,[AR - KGV - SD - HÅ - HS - HED - VJ - BET - FA]
M,9323,[KH - BAN - CPH]
L,951,[FA - TL - KD - LK - VM - FZ - OJ - RQ - TE - KW - GST - SDB]
RV,2909,[FA - BK - BET - VJ - HED - HS - HÅ - SD - HX - VI - KGV - AR]
RØ,1233,[KH - GB - NEL - IG - RG - GZ - NÆ - MOG - VO - MN - NF]
RØ,2427,[KH - GB - NEL - IG - KJN - ØLB - KJ - HF - TH - HZ - OL - NÆN - NÆ]
RØ,2571,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - LJ - HV - TØ - PE - HK]
RØ,2249,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - VY - BO - KY - RG - GZ - NÆ]
RØ,4553,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - LJ - HV - TØ - PE - HK]
RØ,4548,[HK - PE - TØ - HV - LJ - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
IC,5753,[FA - TL - KD - LK - VM - FZ - OJ - RQ - TE - VK - PA - PAGR - FLB]
IC,157,[HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - RO - VY - RG - FJ - SO - SG - FO - KØ - SPR - NG - JU - LV - MV - OD - HP - MD - SNO - FA - BK - VJ - HED - HS - HÅ - SD - HX - AR]
IC,206,[OD - MV - NG - SPR - SG - SO - FJ - RG - KY - RO - TRK - HH - HTÅ - GL - NEL - KLV - ØRE - TÅT - CPH]
RV,4745,[OD - HP - TP - SC - AP - GD - EB - NA - KA - MD - SNO - FA]
RØ,4833,[NÆ - MOG - LU - VO - MN - NV - EK - TN - NF]
RØ,2428,[NÆ - NÆN - OL - HZ - TH - HF - KJ - ØLB - KJN - JSF - NEL - GB - KH - KN - KK]
RØ,1581,[KK - KN - KH - VAL - HTÅ - HH - RO - LJ - HK - RT - KS - MØ - JY - SE - VÆ - KBØ - KB]
IC,5767,[FA - TL - KD - LK - VM - FZ - OJ - RQ - TE - VK - PA - PAGR - FLB]
RØ,4512,[HK - PE - TØ - HV - LJ - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
RØ,1500,[KB - KBØ - VÆ - SE - JY - MØ - KS - RT - HK - PE - TØ - HV - LJ - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK]
RØ,4524,[HK - PE - TØ - HV - LJ - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
IC,1489,[CPH - TÅT - KH]
RV,4761,[OD - HP - TP - SC - AP - GD - EB - NA - KA - MD - SNO - FA]
IC,168,[FA - SNO - MD - KA - OD - MV - LV - UV - NG - SPR - KØ - FO - SG - SO - FJ - RG - KY - RO - TRK - HTÅ - GL - VAL - KH]
RØ,4255,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - VY - BO - KY - RG - GZ - NÆ]
RV,4713,[OD - HP - TP - SC - AP - GD - EB - NA - KA - MD - SNO - FA]
RØ,267,[CPH - TÅT - ØRE - KLV - NEL - IG - HTÅ - HH - TRK - RO - VY - RG - FJ - SO - SG]
RØ,4528,[HK - PE - TØ - HV - LJ - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
RØ,2567,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - LJ - HV - TØ - PE - HK]
IC,2332,[FA - TL - KD - LK - VN - BP - HQ - GØ - BM - TB - ES]
RØ,2530,[HK - PE - TØ - HV - LJ - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
RØ,4537,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - LJ - HV - TØ - PE - HK]
RØ,4239,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - VY - BO - KY - RG - GZ - NÆ]
M,12397,[HGL - KK - KN - KH]
RØ,1204,[NF - TN - VO - LU - NÆ - GZ - RG - ADA - NEL - GB - KH]
RØ,2202,[KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
RØ,3546,[KB - KBØ - VÆ - SE - JY - MØ - HK - PE - RO - TRK - HTÅ - GL - KH - KN - KK]
RØ,1532,[KB - KBØ - VÆ - SE - JY - MØ - KS - RT - HK - PE - RO - TRK - HTÅ - GL - KH - KN - KK]
RV,2969,[FA - BK - BET - VJ - HED - HS - HÅ - SD - HX - VI - KGV - AR]
RØ,3404,[KH - KN - KK - HGL - HL - KL - OK - NI - HUM - GÆ - SQ - HG]
RØ,4473,[KH - GB - NEL - IG - KJN - ØLB - KJ - HF - TH - HZ - OL - NÆN - NÆ]
IC,173,[KK - KN - KH - VAL - HIF - HTÅ - HH - RO - VY - RG - FJ - SO - SG - FO - KØ - SPR - NG - JU - LV - MV - OD - HP - MD - SNO - FA]
RØ,1541,[KH - VAL - HTÅ - HH - RO - LJ - HK - RT - KS - MØ - JY - SE - VÆ - KBØ - KB]
IC,429,[FA - BK - VJ - HED - HS - HÅ - SD - HX - AR]
IC,2328,[FA - TL - KD - LK - VN - BP - HQ - GØ - BM - TB - ES]
RV,4740,[FA - SNO - MD - KA - NA - EB - GD - AP - BD - TP - HP - OD]
RV,3915,[FA - BK - BET - VJ - HED - HS - HÅ - SD - HX - VI - KGV - AR]
IC,5760,[FLB - AHAL - PA - VK - TE - RQ - OJ - SST - VM - LK - KD - TL - FA]
IC,1401,[CPH - TÅT - ØRE - KLV - KH]
RV,2932,[AR - KGV - VI - HC - SD - HÅ - HS - HED - VJ - BET - BK - FA]
L,659,[KH - GB - OD - HP - FA]
L,4019,[AR - BR - RD - FP - HB - AD - AB - ABV - LIH - ABL]
RØ,2514,[HK - PE - TØ - HV - LJ - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
RV,2949,[FA - BK - BET - VJ - HED - HS - HÅ - SD - HX - VI - KGV - AR]
RV,2728,[FA - SNO - MD - KA - NA - EB - GD - AP - BD - SC - TP - HP - OD]
RØ,234,[SG - SO - FJ - RG - KY - RO - TRK - HH - HTÅ - GL - NEL - KLV - ØRE - TÅT - CPH]
RØ,4508,[HK - PE - TØ - HV - LJ - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
M,12398,[KH - KN - KK - HGL]
IC,854,[ES - JNE - BM - GØ - VN - LK - KD - TL - MD - KA - OD - MV - NG - SPR - KØ - FO - SG - SO - FJ - RG - ADA - KJN - JSF - NEL - GB - KH - KN - KK - HGL]
L,4011,[AR - BR - RD - FP - HB - AD - AB - ABV - LIH - ABL]
RØ,3446,[KH - KN - KK - HGL - HL - KL - OK - NI - HUM - GÆ - SQ - HG]
RØ,2527,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - LJ - HV - TØ - PE - HK]
RV,2736,[FA - SNO - MD - KA - NA - EB - GD - AP - BD - SC - TP - HP - OD]
IC,112,[FA - SNO - MD - KA - OD - MV - LV - UV - NG - SPR - KØ - FO - SG - SO - FJ - RG - KY - RO - TRK - HTÅ - GL - VAL - KH - KN - KK - HGL]
IC,2371,[ES - JNE - BM - GØ - HQ - BP - VN - LK - KD - TL - FA]
RØ,2448,[NÆ - NÆN - OL - HZ - TH - HF - KJ - ØLB - KJN - JSF - NEL - GB - KH]
IC,830,[ES - JNE - BM - GØ - VN - LK - KD - TL - MD - KA - OD - MV - NG - SPR - KØ - FO - SG - SO - FJ - RG - ADA - KJN - JSF - NEL - GB - KH - KN - KK - HGL]
RØ,4421,[KH - GB - NEL - IG - KJN - ØLB - KJ - HF - TH - HZ - OL - NÆN - NÆ]
IC,471,[FA - BK - VJ - HED - HS - HÅ - SD - HX - AR]
IC,5761,[FA - TL - KD - LK - VM - FZ - OJ - RQ - TE - VK - PA - PAGR - FLB]
IC,2308,[FA - TL - KD - LK - VN - BP - HQ - GØ - BM - TB - ES]
IC,4192,[AB - OG - SØ - AD - HB - FP - RD - LG - HA - HN - AR]
IC,177,[HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - RO - VY - RG - FJ - SO - SG - FO - KØ - SPR - NG - JU - LV - MV - OD - HP - MD - SNO - FA]
RØ,230,[SG - SO - FJ - RG - KY - RO - TRK - HH - HTÅ - GL - NEL - KLV - ØRE - TÅT - CPH]
RØ,1216,[NF - TN - VO - LU - NÆ - GZ - RG - ADA - NEL - GB - KH]
M,940397,[HMB - ADF - AA]
L,23,[CPH - TÅT - KH - GB - OD - HP - FA - BK - VJ - HED - HS - HÅ - SD - HX - AR]
