Station
AA/80
AB/86
ABL/86
AR/86
CPH/86
ES/86
FA/86
FLB/80
HG/86
HGL/86
HK/86
HMB/80
KB/86
KD/86
KH/86
KK/86
NF/86
NÆ/86
OD/86
PA/86
RO/86
SDB/86
SG/86
STR/86
VJ/86
VO/86
