TrainCategory,TrainId,FromStation,DepartureFromStation,ToStation,ArrivalToStation,Demand,Distance_KM,Electrified,GGVId
RØ,2265_4865,HG/86,958,NÆ/86,1082,340,136.9,true,-1
RØ,2265_4865,NÆ/86,1093,NF/86,1132,20,56.2,false,-1
RØ,2268,NÆ/86,1318,HG/86,1442,94,136.9,true,-1
RØ,2269_4869,HG/86,1018,NÆ/86,1142,155,136.9,true,-1
RØ,2269_4869,NÆ/86,1153,NF/86,1192,24,56.2,false,-1
IC,227,CPH/86,425,OD/86,530,208,166.9,true,227_827
RØ,2270,NÆ/86,1365,KH/86,1430,20,90.7,true,-1
RØ,2272,KH/86,7,HG/86,62,29,46.2,true,-1
RØ,2273_4873,HG/86,1078,NÆ/86,1202,98,136.9,true,-1
RØ,2273_4873,NÆ/86,1213,NF/86,1252,29,56.2,false,-1
RØ,2277,HG/86,1138,NÆ/86,1262,95,136.9,true,-1
RØ,2281,HG/86,1198,NÆ/86,1322,87,136.9,true,-1
RØ,2287,HG/86,1273,NÆ/86,1396,184,136.9,true,-1
RØ,2291,KH/86,1390,NÆ/86,1454,102,90.7,true,1289_2089_2291
RØ,2297,HG/86,1438,KH/86,1493,2,46.2,true,-1
RØ,2299,KH/86,70,NÆ/86,134,28,90.7,true,-1
RØ,230,SG/86,764,CPH/86,834,74,99.5,true,-1
IC,2304,FA/86,307,ES/86,370,19,88.5,true,1407_107_4107_2304
IC,2308,FA/86,367,ES/86,430,44,88.5,true,1413_113_2308_2313_413_4113
RØ,231,CPH/86,485,SG/86,555,109,99.5,true,-1
IC,2312,FA/86,411,ES/86,474,81,88.5,true,112_2312_412
IC,2313,ES/86,303,FA/86,367,49,88.5,true,1413_113_2308_2313_413_4113
IC,2316,FA/86,471,ES/86,534,132,88.5,true,116_2316_4116_416
IC,2317,ES/86,362,FA/86,427,86,88.5,true,1417_117_2317_417_4117
IC,2321,ES/86,422,FA/86,487,67,88.5,true,121_2321_421_4121
IC,2324,FA/86,591,ES/86,654,100,88.5,true,124_2324_4124_424
RV,2325_2925,ES/86,484,FA/86,549,54,88.5,true,-1
RV,2325_2925,FA/86,554,AR/86,623,98,108.5,false,-1
IC,2328,FA/86,651,ES/86,714,37,88.5,true,128_2328_4128_428
IC,2329,ES/86,543,FA/86,607,30,88.5,true,129_2329_429_4129
IC,2332,FA/86,711,ES/86,774,82,88.5,true,132_2332_4132_432
IC,2333,ES/86,603,FA/86,667,59,88.5,true,133_2333_433_4133
IC,2337,ES/86,663,FA/86,727,69,88.5,true,137_2337_437_4137
RØ,234,SG/86,824,CPH/86,894,134,99.5,true,-1
IC,2340,FA/86,831,ES/86,894,108,88.5,true,140_2340_4140_440
RV,2341_2941,ES/86,724,FA/86,789,26,88.5,true,-1
RV,2341_2941,FA/86,794,AR/86,863,43,108.5,false,-1
IC,2344,FA/86,891,ES/86,954,124,88.5,true,144_2344_4144_444
IC,2345,ES/86,783,FA/86,847,82,88.5,true,145_2345_445_4145
IC,2348,FA/86,951,ES/86,1014,109,88.5,true,148_2348_4148_448
IC,2349,ES/86,843,FA/86,907,88,88.5,true,149_2349_449_4149
RØ,235,CPH/86,545,SG/86,615,72,99.5,true,-1
IC,2353,ES/86,903,FA/86,967,147,88.5,true,153_2353_453_4153
IC,2356,FA/86,1071,ES/86,1134,82,88.5,true,156_2356_4156_456
RV,2357_2957,ES/86,964,FA/86,1029,146,88.5,true,-1
RV,2357_2957,FA/86,1034,AR/86,1103,243,108.5,false,-1
IC,2360,FA/86,1131,ES/86,1194,44,88.5,true,160_2360_4160_460
IC,2361,ES/86,1023,FA/86,1087,72,88.5,true,161_2361_461_4161
IC,2364,FA/86,1191,ES/86,1254,73,88.5,true,164_2364_4164_464
IC,2365,ES/86,1083,FA/86,1147,46,88.5,true,165_2365_465_4165
IC,2368,FA/86,1251,ES/86,1314,55,88.5,true,168_2368_4168_468
IC,2369,ES/86,1143,FA/86,1207,55,88.5,true,2369_469_80169
IC,2371,ES/86,1203,FA/86,1267,78,88.5,true,173_2371_471
IC,2374,FA/86,1311,ES/86,1374,35,88.5,true,172_2374_4172_474
IC,2376,FA/86,1392,ES/86,1455,55,88.5,true,181_2376
IC,2377,ES/86,1263,FA/86,1327,48,88.5,true,177_2377_477
IC,238,OD/86,849,CPH/86,954,218,166.9,true,238_838
IC,2387,ES/86,1421,FA/86,1485,3,88.5,true,-1
RØ,239,CPH/86,605,SG/86,675,46,99.5,true,-1
L,23_4023,CPH/86,386,FA/86,514,414,230.2,true,23_4023_723
L,23_4023,FA/86,518,VJ/86,531,253,25.7,false,23_4023_723
L,23_4023,VJ/86,533,AR/86,578,226,82.8,false,23_4023_723
L,23_4023,AR/86,585,ABL/86,668,49,145.3,false,23_4023_723
RØ,2400,NÆ/86,276,KH/86,343,55,79.2,true,2400_2500_3400
RØ,2404_3404,NÆ/86,336,KH/86,403,122,79.2,true,-1
RØ,2404_3404,KH/86,406,HG/86,456,50,46.2,true,-1
RØ,2408,NÆ/86,396,KH/86,463,300,79.2,true,-1
RØ,2412,NÆ/86,456,KK/86,532,231,82.3,true,1533_2412_3810_4210
RØ,2416,NÆ/86,516,KK/86,592,123,82.3,true,1537_2416
RØ,2419,KH/86,317,NÆ/86,382,19,79.2,true,-1
IC,242,OD/86,909,CPH/86,1014,179,166.9,true,242_842
RØ,2420,NÆ/86,576,KK/86,652,64,82.3,true,-1
RØ,2423,KH/86,377,NÆ/86,442,43,79.2,true,-1
RØ,2424,NÆ/86,636,KH/86,703,51,79.2,true,-1
RØ,2428,NÆ/86,696,KK/86,772,64,82.3,true,1549_2428
RØ,243,CPH/86,665,SG/86,735,42,99.5,true,-1
RØ,2432,NÆ/86,756,KK/86,832,47,82.3,true,1553_2432
RØ,2436_3436,NÆ/86,816,KH/86,883,84,79.2,true,-1
RØ,2436_3436,KH/86,886,HG/86,936,159,46.2,true,-1
RØ,2439,KK/86,608,NÆ/86,682,33,82.3,true,1516_2439
RØ,2440_3440,NÆ/86,876,KH/86,943,90,79.2,true,-1
RØ,2440_3440,KH/86,946,HG/86,996,177,46.2,true,-1
RØ,2443,KK/86,668,NÆ/86,742,42,82.3,true,1520_2443
RØ,2444_3444,NÆ/86,936,KH/86,1003,107,79.2,true,-1
RØ,2444_3444,KH/86,1006,HG/86,1056,177,46.2,true,-1
RØ,2447,KK/86,728,NÆ/86,802,55,82.3,true,1524_2447
RØ,2448_3448,NÆ/86,996,KH/86,1063,56,79.2,true,-1
RØ,2448_3448,KH/86,1066,HG/86,1116,100,46.2,true,-1
RØ,2451,KK/86,788,NÆ/86,862,78,82.3,true,1528_2451
RØ,2452,NÆ/86,1056,KH/86,1123,44,79.2,true,-1
RØ,2455,KK/86,848,NÆ/86,922,132,82.3,true,1532_2455
RØ,2456,NÆ/86,1116,KK/86,1192,33,82.3,true,-1
RØ,2459,KK/86,908,NÆ/86,982,235,82.3,true,1536_2459_3859_4259
IC,246,OD/86,969,CPH/86,1074,97,166.9,true,246_846
RØ,2460,NÆ/86,1176,KH/86,1243,52,79.2,true,-1
RØ,2464,NÆ/86,1236,KH/86,1303,46,79.2,true,-1
RØ,2468,NÆ/86,1296,KH/86,1363,24,79.2,true,-1
RØ,247,CPH/86,725,SG/86,795,42,99.5,true,-1
RØ,2474,NÆ/86,1356,KK/86,1440,25,82.3,true,-1
RØ,2476,NÆ/86,1416,HGL/86,1506,1,84.4,true,-1
RØ,2479,KK/86,1208,NÆ/86,1282,75,82.3,true,-1
RØ,2483,KK/86,1268,NÆ/86,1342,71,82.3,true,1560_2483
RØ,2487,KK/86,1328,NÆ/86,1402,66,82.3,true,1564_2487
RØ,2491,KH/86,1397,NÆ/86,1462,49,79.2,true,-1
RØ,2495,KH/86,17,NÆ/86,77,22,79.2,true,-1
IC,250,OD/86,1029,CPH/86,1134,70,166.9,true,250_850
RØ,2500,KH/86,352,HG/86,407,13,46.2,true,2400_2500_3400
RØ,2502,HK/86,353,HG/86,467,206,113.3,true,-1
RØ,2506,HK/86,413,HG/86,527,523,113.3,true,-1
IC,251,CPH/86,785,OD/86,890,138,166.9,true,251_851
RØ,2510,HK/86,473,HG/86,587,424,113.3,true,-1
RØ,2514,HK/86,533,HG/86,647,279,113.3,true,-1
RØ,2518,HK/86,593,HG/86,707,131,113.3,true,-1
RØ,2519,KH/86,312,HK/86,367,18,67.1,true,-1
RØ,2522,HK/86,653,HG/86,767,148,113.3,true,-1
RØ,2523,HGL/86,356,HK/86,427,55,72.3,true,-1
RØ,2526,HK/86,713,HG/86,827,163,113.3,true,-1
RØ,2527,HG/86,373,HK/86,487,360,113.3,true,-1
RØ,2530,HK/86,773,HG/86,887,161,113.3,true,-1
RØ,2531,HG/86,433,HK/86,547,421,113.3,true,-1
RØ,2534,HK/86,833,HG/86,947,211,113.3,true,-1
RØ,2535,HG/86,493,HK/86,607,259,113.3,true,-1
RØ,2538,HK/86,893,HG/86,1007,354,113.3,true,-1
RØ,2539,HG/86,553,HK/86,667,198,113.3,true,-1
RØ,254,SG/86,1124,CPH/86,1194,44,99.5,true,-1
RØ,2542,HK/86,953,HG/86,1067,315,113.3,true,-1
RØ,2543,HG/86,613,HK/86,727,104,113.3,true,-1
RØ,2546,HK/86,1013,HG/86,1127,170,113.3,true,-1
RØ,2547,HG/86,673,HK/86,787,122,113.3,true,-1
IC,255,CPH/86,845,OD/86,950,217,166.9,true,255_855
RØ,2550,HK/86,1073,HG/86,1187,107,113.3,true,-1
RØ,2551,HG/86,733,HK/86,847,144,113.3,true,-1
RØ,2554,HK/86,1133,HG/86,1247,80,113.3,true,-1
RØ,2555,HG/86,793,HK/86,907,233,113.3,true,-1
RØ,2558,HK/86,1193,HG/86,1307,135,113.3,true,-1
RØ,2559,HG/86,853,HK/86,967,354,113.3,true,-1
RØ,2562,HK/86,1253,HGL/86,1324,52,72.3,true,-1
RØ,2563,HG/86,913,HK/86,1027,431,113.3,true,-1
RØ,2566,HK/86,1313,HGL/86,1384,40,72.3,true,-1
RØ,2567,HG/86,973,HK/86,1087,354,113.3,true,-1
RØ,2571,HG/86,1033,HK/86,1147,161,113.3,true,-1
RØ,2575,HG/86,1093,HK/86,1207,106,113.3,true,-1
RØ,2579,HG/86,1153,KH/86,1208,52,46.2,true,-1
RØ,258,SG/86,1184,CPH/86,1254,63,99.5,true,-1
RØ,2583,HG/86,1213,RO/86,1298,86,77.5,true,-1
IC,259,CPH/86,905,OD/86,1010,347,166.9,true,259_859
RØ,2595,HG/86,1408,HK/86,1525,33,113.3,true,-1
RØ,2599,HG/86,28,KH/86,83,16,46.2,true,-1
RØ,262,SG/86,1244,CPH/86,1314,27,99.5,true,-1
IC,263,CPH/86,965,OD/86,1070,248,166.9,true,263_863
RØ,266,RO/86,1340,CPH/86,1374,12,37.9,true,-1
RØ,267,CPH/86,1025,SG/86,1095,87,99.5,true,-1
RØ,270,RO/86,1400,CPH/86,1434,10,37.9,true,-1
RØ,271,CPH/86,1085,SG/86,1155,69,99.5,true,-1
RV,2710,FA/86,371,OD/86,436,29,60.3,true,-1
RV,2715_3919,OD/86,400,FA/86,450,29,60.3,true,-1
RV,2715_3919,FA/86,461,AR/86,529,30,108.5,false,-1
RV,2727,OD/86,526,FA/86,588,10,60.3,true,-1
RV,2728,FA/86,635,OD/86,694,11,60.3,true,-1
RV,2733,OD/86,639,FA/86,689,8,60.3,true,-1
RV,2736,FA/86,750,OD/86,801,15,60.3,true,-1
RØ,274,RO/86,20,CPH/86,54,13,37.9,true,-1
RV,2741,OD/86,758,FA/86,811,19,60.3,true,-1
RV,2742,FA/86,873,OD/86,934,30,60.3,true,-1
RØ,275,CPH/86,1145,SG/86,1215,44,99.5,true,-1
RV,2751,OD/86,885,FA/86,948,52,60.3,true,-1
RV,2754,FA/86,1000,OD/86,1067,12,60.3,true,-1
RV,2759,OD/86,1005,FA/86,1068,45,60.3,true,-1
RV,2765,OD/86,1116,FA/86,1170,19,60.3,true,-1
RV,2768,FA/86,1230,OD/86,1284,58,60.3,true,-1
RV,2777,OD/86,1296,FA/86,1350,37,60.3,true,-1
RV,2785,OD/86,1416,FA/86,1470,14,60.3,true,-1
RØ,279,CPH/86,1205,SG/86,1275,64,99.5,true,-1
L,27_4027,CPH/86,446,FA/86,574,482,230.2,true,27_4027_927
L,27_4027,FA/86,578,VJ/86,591,231,25.7,false,27_4027_927
L,27_4027,VJ/86,593,AR/86,638,195,82.8,false,27_4027_927
L,27_4027,AR/86,645,ABL/86,728,65,145.3,false,27_4027_927
RØ,283,CPH/86,1265,RO/86,1299,73,37.9,true,-1
RØ,287,CPH/86,1325,RO/86,1359,24,37.9,true,-1
RV,2909,FA/86,314,AR/86,383,41,108.5,false,-1
RØ,291,CPH/86,1385,RO/86,1419,35,37.9,true,-1
RV,2912,AR/86,338,FA/86,406,85,108.5,false,-1
RV,2913,FA/86,376,AR/86,446,54,108.5,false,-1
RV,2916,AR/86,398,FA/86,466,117,108.5,false,-1
RV,2917,FA/86,432,AR/86,500,104,108.5,false,-1
RV,2920_2320,AR/86,458,FA/86,526,138,108.5,false,-1
RV,2920_2320,FA/86,531,ES/86,594,37,88.5,true,-1
RV,2924,AR/86,518,FA/86,586,139,108.5,false,-1
RV,2928,AR/86,578,FA/86,646,101,108.5,false,-1
RV,2929,FA/86,614,AR/86,683,34,108.5,false,-1
RV,2932,AR/86,638,FA/86,706,99,108.5,false,-1
RV,2933,FA/86,674,AR/86,743,30,108.5,false,-1
RV,2936_2336,AR/86,698,FA/86,766,142,108.5,false,-1
RV,2936_2336,FA/86,771,ES/86,834,43,88.5,true,-1
RV,2937,FA/86,734,AR/86,803,35,108.5,false,-1
RV,2940,AR/86,758,FA/86,826,164,108.5,false,-1
RV,2944,AR/86,818,FA/86,886,110,108.5,false,-1
RV,2945,FA/86,854,AR/86,923,51,108.5,false,-1
RV,2948,AR/86,878,FA/86,946,230,108.5,false,-1
RV,2949,FA/86,914,AR/86,983,100,108.5,false,-1
RØ,295,CPH/86,5,RO/86,39,9,37.9,true,-1
RV,2952_2352,AR/86,938,FA/86,1006,157,108.5,false,-1
RV,2952_2352,FA/86,1011,ES/86,1074,55,88.5,true,-1
RV,2953,FA/86,974,AR/86,1043,102,108.5,false,-1
RV,2956,AR/86,998,FA/86,1066,193,108.5,false,-1
RV,2960,AR/86,1058,FA/86,1126,94,108.5,false,-1
RV,2961,FA/86,1094,AR/86,1163,30,108.5,false,-1
RV,2964,AR/86,1118,FA/86,1186,112,108.5,false,-1
RV,2965,FA/86,1154,AR/86,1223,19,108.5,false,-1
RV,2968,AR/86,1178,FA/86,1246,38,108.5,false,-1
RV,2969,FA/86,1214,AR/86,1283,55,108.5,false,-1
RV,2972,AR/86,1238,FA/86,1306,61,108.5,false,-1
RV,2973,FA/86,1274,AR/86,1343,14,108.5,false,-1
RV,2974,FA/86,1348,KD/86,1359,3,19.9,true,-1
RV,2976,AR/86,1298,FA/86,1366,45,108.5,false,-1
RV,2980,AR/86,1358,FA/86,1426,54,108.5,false,-1
RV,2981,KD/86,1369,FA/86,1381,2,19.9,true,-1
L,31_4031,CPH/86,506,FA/86,634,350,230.2,true,31_4031_731
L,31_4031,FA/86,638,VJ/86,651,227,25.7,false,31_4031_731
L,31_4031,VJ/86,653,AR/86,698,218,82.8,false,31_4031_731
L,31_4031,AR/86,705,ABL/86,788,80,145.3,false,31_4031_731
RØ,3206,NF/86,363,KH/86,437,173,144.7,false,-1
RØ,3306,RO/86,437,KK/86,469,193,34.4,true,-1
RØ,3310,RO/86,497,KK/86,529,164,34.4,true,-1
RØ,3327,KK/86,446,RO/86,478,187,34.4,true,-1
RØ,3359,HGL/86,905,RO/86,943,144,36.5,true,-1
RØ,3363,HGL/86,965,RO/86,1003,177,36.5,true,-1
RØ,3400,KH/86,346,HG/86,396,24,46.2,true,2400_2500_3400
RØ,3402,KH/86,376,HG/86,426,38,46.2,true,3402_4402_4500
RR,3408,KH/86,466,HG/86,516,109,46.2,true,-1
RØ,3427_2427,HG/86,384,KH/86,434,140,46.2,true,-1
RØ,3427_2427,KH/86,437,NÆ/86,502,85,79.2,true,-1
RØ,3429_4429,HG/86,414,KH/86,464,292,46.2,true,-1
RØ,3429_4429,KH/86,467,NÆ/86,532,66,79.2,true,-1
RØ,3431_2431,HG/86,444,KH/86,494,302,46.2,true,-1
RØ,3431_2431,KH/86,497,NÆ/86,562,63,79.2,true,-1
RØ,3433_4433,HG/86,474,KH/86,524,332,46.2,true,-1
RØ,3433_4433,KH/86,527,NÆ/86,592,39,79.2,true,-1
RØ,3435_2435,HG/86,504,KH/86,554,198,46.2,true,-1
RØ,3435_2435,KH/86,557,NÆ/86,622,45,79.2,true,-1
RØ,3437_4437,HG/86,534,KH/86,584,212,46.2,true,-1
RØ,3437_4437,KH/86,587,NÆ/86,652,32,79.2,true,-1
RØ,3463_2463,HG/86,924,KH/86,974,191,46.2,true,3463_2463_3863_4263
RØ,3463_2463,KH/86,977,NÆ/86,1042,386,79.2,true,3463_2463_3863_4263
RØ,3465_4465,HG/86,954,KH/86,1004,180,46.2,true,-1
RØ,3465_4465,KH/86,1007,NÆ/86,1072,237,79.2,true,-1
RØ,3467_2467,HG/86,984,KH/86,1034,86,46.2,true,-1
RØ,3467_2467,KH/86,1037,NÆ/86,1102,176,79.2,true,-1
RØ,3469_4469,HG/86,1014,KH/86,1064,78,46.2,true,-1
RØ,3469_4469,KH/86,1067,NÆ/86,1132,93,79.2,true,-1
