Reason,Station,Type,Count
Extra units deployed,HG/86,ICA,1
Extra units deployed,NÆ/86,ICA,1
Extra units deployed,KD/86,ICA,1
Extra units deployed,SDB/86,ICA,1
Extra units deployed,AA/80,EB15Talgo,1
