Reason,Station,Type,Count
Extra units deployed,KD/86,ICA,1
Extra units deployed,OD/86,EB4DD,2
Extra units deployed,SDB/86,EB4DD,1
Extra units deployed,ES/86,EB5DD,1
Extra units deployed,FA/86,EB15Talgo,3
Extra units deployed,OD/86,EB15Talgo,1
Extra units deployed,KK/86,EB15Talgo,1
End-of-day excess,SG/86,EB15Talgo,1
Extra units deployed,ES/86,EB15Talgo,1
Extra units deployed,HK/86,EB15Talgo,1
End-of-day shortage,VO/86,EB15Talgo,1
Extra units deployed,VO/86,EB15Talgo,1
