TripId,TrainCategory,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Unit
2,L,6,AR/86,VJ/86,254,304,54,ICU_1
3,L,6,VJ/86,FA/86,306,321,58,ICU_1
4,L,6,FA/86,CPH/86,327,452,246,ICU_1
7,L,10,AR/86,VJ/86,320,364,153,ICU_1
8,L,10,VJ/86,FA/86,366,381,203,ICU_1
9,L,10,FA/86,CPH/86,387,512,614,ICU_1
12,L,11,OD/86,FA/86,303,334,10,ICU_1
13,L,11,FA/86,VJ/86,338,351,15,ICU_1
14,L,11,VJ/86,AR/86,353,398,69,ICU_1
