TrainCategory,TrainId,Route
L,723,"FA/86, STR/86"
RØ,1268,"NF/86, KH/86"
RØ,4825,"NÆ/86, NF/86"
IC,4141,"AR/86, ABL/86"
RØ,4434,"NÆ/86, KH/86"
IC,4164,"ABL/86, AR/86"
IC,1413,"CPH/86, KH/86"
L,50,"AR/86, VJ/86, FA/86, CPH/86"
RØ,2435,"KH/86, NÆ/86"
IC,822,"ES/86, OD/86, KK/86"
L,38,"AR/86, VJ/86, FA/86, CPH/86"
IC,107,"KH/86, FA/86, AR/86"
IC,242,"OD/86, CPH/86"
RØ,2297,"HG/86, KH/86"
M,6343,"KH/86, CPH/86"
RØ,291,"CPH/86, RO/86"
EX,1196,"HMB/80, PA/86, KH/86"
L,14,"AR/86, VJ/86, FA/86, CPH/86"
IC,120,"AR/86, FA/86, KK/86"
RØ,2268,"NÆ/86, HG/86"
IC,469,"FA/86, AR/86"
RØ,1281,"KH/86, NF/86"
L,747,"VJ/86, STR/86"
RV,4753,"OD/86, FA/86"
RØ,3506,"KB/86, KK/86"
RØ,3402,"KH/86, HG/86"
RØ,2224,"NÆ/86, HG/86"
IC,842,"ES/86, OD/86, HGL/86"
RØ,4275,"HG/86, RO/86"
RØ,2522,"HK/86, HG/86"
L,942,"SDB/86, FA/86"
RV,2953,"FA/86, AR/86"
IC,461,"FA/86, AR/86"
M,9176,"RO/86, KK/86"
RØ,2236,"NÆ/86, HG/86"
RØ,4560,"HK/86, HG/86"
RØ,2519,"KH/86, HK/86"
RØ,3475,"HG/86, KH/86"
L,4038,"ABL/86, AR/86"
RØ,4418,"NÆ/86, KK/86"
RØ,4844,"NF/86, NÆ/86"
RØ,2566,"HK/86, HGL/86"
RØ,4259,"HG/86, NÆ/86"
RV,3947,"FA/86, AR/86"
L,58,"AR/86, VJ/86, FA/86, CPH/86"
RV,3950,"AR/86, FA/86"
RØ,1508,"KB/86, HGL/86"
RØ,2269,"HG/86, NÆ/86"
RØ,4841,"NÆ/86, NF/86"
IC,863,"HGL/86, OD/86, ES/86"
RØ,2468,"NÆ/86, KH/86"
RR,974,"SDB/86, FA/86"
RØ,4438,"NÆ/86, KH/86"
IC,208,"OD/86, CPH/86"
RØ,222,"SG/86, CPH/86"
IC,2365,"ES/86, FA/86"
