TripId,TrainCategory,TrainId,FromStation,ToStation,Departure,Arrival,Demand,Composition
401,RØ,262,SG/86,CPH/86,1244,1314,27,1xEB15Talgo
404,IC,263,CPH/86,OD/86,965,1070,248,"1xERF, 1xICA"
407,RØ,266,RO/86,CPH/86,1340,1374,12,1xEB15Talgo
410,RØ,267,CPH/86,SG/86,1025,1095,87,1xERF
413,RØ,270,RO/86,CPH/86,1400,1434,10,1xEB15Talgo
416,RØ,271,CPH/86,SG/86,1085,1155,69,1xERF
419,RØ,274,RO/86,CPH/86,20,54,13,1xMGA
422,RØ,275,CPH/86,SG/86,1145,1215,44,1xEB15Talgo
425,RØ,279,CPH/86,SG/86,1205,1275,64,1xERF
428,RØ,283,CPH/86,RO/86,1265,1299,73,1xERF
431,RØ,287,CPH/86,RO/86,1325,1359,24,1xEB15Talgo
434,RØ,291,CPH/86,RO/86,1385,1419,35,1xMGA
437,RØ,295,CPH/86,RO/86,5,39,9,2xICA
440,EX,392,HMB/80,KH/86,1130,1417,25,1xERF
443,EX,393,KH/86,HMB/80,502,786,229,1xEB4DD
446,EX,394,HMB/80,KH/86,893,1178,232,1xEB4DD
449,EX,395,KH/86,HMB/80,742,1024,282,1xEB4DD
452,EX,396,HMB/80,KH/86,653,938,274,1xEB15Talgo
455,EX,397,KH/86,HMB/80,862,1144,149,1xEB15Talgo
458,EX,398,HMB/80,KH/86,535,818,243,1xEB15Talgo
461,EX,399,KH/86,HMB/80,982,1264,201,1xEB15Talgo
464,IC,412,AR/86,FA/86,350,409,162,2xICA
467,IC,413,FA/86,AR/86,369,428,167,1xMGA
470,IC,416,AR/86,FA/86,410,469,239,2xICA
473,IC,417,FA/86,AR/86,429,488,213,2xICA
476,IC,421,FA/86,AR/86,489,548,138,1xICA
479,IC,424,AR/86,FA/86,530,589,151,1xICA
482,IC,428,AR/86,FA/86,590,649,69,1xICA
485,IC,429,FA/86,AR/86,609,668,92,1xICA
488,IC,432,AR/86,FA/86,650,709,96,1xICA
491,IC,433,FA/86,AR/86,669,728,119,1xICA
494,IC,437,FA/86,AR/86,729,788,135,1xICA
497,IC,440,AR/86,FA/86,770,829,113,1xICA
500,IC,444,AR/86,FA/86,830,889,230,2xICA
503,IC,445,FA/86,AR/86,849,908,217,2xICA
506,IC,448,AR/86,FA/86,890,949,127,1xICU
509,IC,449,FA/86,AR/86,909,968,286,2xICA
512,IC,453,FA/86,AR/86,969,1028,231,2xICA
515,IC,456,AR/86,FA/86,1010,1069,151,1xICA
518,IC,460,AR/86,FA/86,1070,1129,87,1xICU
521,IC,461,FA/86,AR/86,1089,1148,128,1xICA
524,IC,464,AR/86,FA/86,1130,1189,100,1xICA
527,IC,465,FA/86,AR/86,1149,1208,106,1xICA
530,IC,468,AR/86,FA/86,1190,1249,52,1xICA
533,IC,469,FA/86,AR/86,1209,1268,94,1xICA
536,IC,471,FA/86,AR/86,1269,1328,49,1xICU
539,IC,474,AR/86,FA/86,1250,1309,95,1xICA
542,IC,477,FA/86,AR/86,1329,1400,48,1xICA
545,IC,484,AR/86,KD/86,1430,1513,27,1xICU
548,IC,485,FA/86,AR/86,9,80,7,1xICU
551,L,608,OD/86,KH/86,379,458,368,"1xERF, 1xICA"
554,L,649,KH/86,FA/86,802,907,50,1xERF
557,L,659,KH/86,FA/86,922,1027,176,1xERF
560,L,722,STR/86,FA/86,424,554,75,1xICA
563,L,723,FA/86,STR/86,523,648,67,1xICA
566,L,731,FA/86,STR/86,643,768,72,1xICA
569,L,738,STR/86,FA/86,664,794,82,1xICA
572,L,746,STR/86,FA/86,784,914,124,1xICA
575,L,747,VJ/86,STR/86,899,1008,76,1xICA
578,L,762,STR/86,FA/86,1024,1154,52,1xICA
581,L,763,FA/86,STR/86,1123,1248,97,1xICA
584,IC,802,OD/86,HGL/86,300,403,246,"1xERF, 1xICA"
587,IC,806,ES/86,OD/86,272,352,35,1xERF
588,IC,806,OD/86,HGL/86,360,463,529,"1xICA, 2xERF"
591,IC,810,ES/86,OD/86,332,412,141,1xICA
592,IC,810,OD/86,HGL/86,420,523,558,"1xICA, 2xERF"
595,IC,814,ES/86,OD/86,392,472,191,1xERF
596,IC,814,OD/86,HGL/86,480,583,305,2xERF
599,IC,815,OD/86,ES/86,369,456,88,1xERF
602,IC,818,ES/86,OD/86,451,532,112,1xERF
603,IC,818,OD/86,HGL/86,540,643,143,1xERF
606,IC,819,HGL/86,OD/86,316,420,109,4xERF
607,IC,819,OD/86,ES/86,429,506,145,1xERF
610,IC,822,ES/86,OD/86,511,592,74,1xERF
611,IC,822,OD/86,KK/86,600,697,158,1xERF
614,IC,823,KK/86,OD/86,383,480,186,2xERF
615,IC,823,OD/86,ES/86,489,566,137,1xERF
618,IC,826,ES/86,OD/86,572,652,54,1xERF
619,IC,826,OD/86,HGL/86,660,763,140,1xERF
622,IC,827,HGL/86,OD/86,436,540,259,1xEB5DD
623,IC,827,OD/86,ES/86,549,626,107,1xEB5DD
626,IC,830,ES/86,OD/86,632,712,98,1xEB5DD
627,IC,830,OD/86,HGL/86,720,823,155,1xEB5DD
630,IC,831,HGL/86,OD/86,496,600,155,1xERF
631,IC,831,OD/86,ES/86,609,686,84,1xERF
634,IC,834,ES/86,OD/86,692,772,102,1xERF
635,IC,834,OD/86,HGL/86,780,883,205,1xERF
638,IC,835,HGL/86,OD/86,556,660,114,1xERF
639,IC,835,OD/86,ES/86,669,746,74,1xERF
642,IC,838,ES/86,OD/86,752,832,106,1xERF
643,IC,838,OD/86,HGL/86,840,943,175,1xERF
646,IC,839,KK/86,OD/86,623,720,157,1xEB15Talgo
647,IC,839,OD/86,ES/86,729,806,104,1xEB15Talgo
650,IC,842,ES/86,OD/86,812,892,152,1xEB15Talgo
651,IC,842,OD/86,HGL/86,900,1003,242,1xEB15Talgo
654,IC,843,HGL/86,OD/86,676,780,157,1xEB4DD
655,IC,843,OD/86,ES/86,789,866,116,1xEB4DD
658,IC,846,ES/86,OD/86,872,952,177,1xEB4DD
659,IC,846,OD/86,HGL/86,960,1063,232,1xEB4DD
662,IC,847,HGL/86,OD/86,736,840,139,1xERF
663,IC,847,OD/86,ES/86,849,926,91,1xERF
666,IC,850,ES/86,OD/86,932,1012,174,1xERF
667,IC,850,OD/86,HGL/86,1020,1123,165,1xERF
670,IC,851,HGL/86,OD/86,796,900,189,1xERF
671,IC,851,OD/86,ES/86,909,986,148,1xERF
674,IC,854,ES/86,OD/86,992,1072,105,1xERF
675,IC,854,OD/86,HGL/86,1080,1183,119,1xERF
678,IC,855,HGL/86,OD/86,856,960,314,1xEB15Talgo
679,IC,855,OD/86,ES/86,969,1046,171,1xEB15Talgo
682,IC,858,ES/86,OD/86,1052,1132,70,1xEB15Talgo
683,IC,858,OD/86,HGL/86,1140,1243,99,1xEB15Talgo
686,IC,859,HGL/86,OD/86,916,1020,561,"1xICA, 2xERF"
687,IC,859,OD/86,ES/86,1029,1106,205,1xERF
690,IC,862,ES/86,OD/86,1112,1192,32,1xERF
691,IC,862,OD/86,KK/86,1200,1297,93,1xERF
694,IC,863,HGL/86,OD/86,976,1080,583,"1xICA, 2xERF"
695,IC,863,OD/86,ES/86,1089,1166,155,1xERF
698,IC,866,ES/86,OD/86,1172,1252,46,1xERF
699,IC,866,OD/86,KK/86,1260,1360,61,1xERF
702,IC,867,HGL/86,OD/86,1036,1140,372,1xEB15Talgo
703,IC,867,OD/86,ES/86,1149,1226,114,1xEB15Talgo
706,IC,871,HGL/86,OD/86,1096,1200,158,1xERF
707,IC,871,OD/86,ES/86,1209,1286,75,1xERF
710,IC,875,HGL/86,OD/86,1156,1260,174,1xERF
711,IC,875,OD/86,ES/86,1269,1346,80,1xERF
714,IC,879,HGL/86,OD/86,1216,1320,191,1xERF
717,IC,883,HGL/86,OD/86,1276,1380,123,1xERF
720,L,910,SDB/86,FA/86,284,377,67,1xERF
723,L,911,FA/86,SDB/86,341,432,13,1xERF
726,L,918,SDB/86,FA/86,404,497,87,1xICA
729,L,919,FA/86,SDB/86,461,552,64,1xERF
732,L,926,SDB/86,FA/86,524,617,87,1xERF
735,L,927,FA/86,SDB/86,581,672,64,1xERF
738,L,934,SDB/86,FA/86,644,737,73,1xERF
741,L,935,FA/86,SDB/86,701,792,63,1xERF
744,L,942,SDB/86,FA/86,764,857,67,1xERF
747,L,943,FA/86,SDB/86,821,912,105,1xICA
750,L,950,SDB/86,FA/86,884,977,78,1xERF
753,L,951,FA/86,SDB/86,941,1032,111,1xERF
756,L,958,SDB/86,FA/86,1004,1097,55,1xICA
759,L,959,FA/86,SDB/86,1061,1152,109,1xERF
762,L,966,SDB/86,FA/86,1124,1217,32,1xERF
765,L,967,FA/86,SDB/86,1181,1272,65,1xERF
768,RR,974,SDB/86,FA/86,1244,1337,17,1xERF
771,L,975,FA/86,SDB/86,1301,1392,43,1xICA
774,RR,982,SDB/86,FA/86,1364,1457,2,1xERF
777,RR,983,FA/86,SDB/86,1436,1527,8,1xERF
780,EX,1191,KH/86,PA/86,322,477,58,1xERF
781,EX,1191,PA/86,HMB/80,482,604,0,1xERF
784,EX,1196,HMB/80,PA/86,712,833,0,1xEB15Talgo
785,EX,1196,PA/86,KH/86,843,998,149,1xEB15Talgo
788,EX,1198,HMB/80,PA/86,410,534,0,1xEB4DD
789,EX,1198,PA/86,KH/86,543,698,68,1xEB4DD
792,EX,1199,KH/86,PA/86,1102,1257,158,1xEB15Talgo
793,EX,1199,PA/86,HMB/80,1262,1384,0,1xEB15Talgo
796,RØ,1204,NF/86,KH/86,338,415,224,2xICA
799,RØ,1208,NF/86,KH/86,398,475,395,3xICA
802,RØ,1212,NF/86,KH/86,458,535,258,2xICA
805,RØ,1216,NF/86,KH/86,518,595,183,1xMGA
808,RØ,1220,NF/86,KH/86,578,655,100,1xICA
811,RØ,1221,KH/86,NF/86,364,449,79,1xICA
814,RØ,1224,NF/86,KH/86,638,715,103,1xICA
817,RØ,1225,KH/86,NF/86,428,503,165,1xMGA
820,RØ,1228,NF/86,KH/86,698,775,98,1xICA
823,RØ,1229,KH/86,NF/86,488,563,128,1xICA
826,RØ,1232,NF/86,KH/86,758,835,99,1xICA
829,RØ,1233,KH/86,NF/86,548,623,71,1xICA
832,RØ,1236,NF/86,KH/86,818,895,120,1xICA
835,RØ,1237,KH/86,NF/86,608,683,71,1xICA
838,RØ,1240,NF/86,KH/86,878,955,157,1xMGA
841,RØ,1241,KH/86,NF/86,668,743,67,1xICA
844,RØ,1244,NF/86,KH/86,938,1015,179,1xMGA
847,RØ,1245,KH/86,NF/86,728,803,76,1xICA
850,RØ,1248,NF/86,KH/86,998,1075,104,1xICA
853,RØ,1249,KH/86,NF/86,788,863,99,1xICA
856,RØ,1252,NF/86,KH/86,1058,1135,64,1xICA
859,RØ,1253,KH/86,NF/86,848,923,161,1xMGA
862,RØ,1256,NF/86,KH/86,1118,1195,51,1xICA
865,RØ,1257,KH/86,NF/86,908,983,320,3xICA
868,RØ,1260,NF/86,KH/86,1178,1255,69,1xICA
871,RØ,1261,KH/86,NF/86,968,1043,417,3xICA
874,RØ,1264,NF/86,KH/86,1229,1315,77,1xICA
877,RØ,1265,KH/86,NF/86,1028,1103,240,2xICA
880,RØ,1268,NF/86,KH/86,1286,1374,44,1xICA
883,RØ,1269,KH/86,NF/86,1088,1163,138,1xICA
886,RØ,1272,NF/86,KH/86,1346,1434,21,1xICA
889,RØ,1273,KH/86,NF/86,1148,1223,88,1xICA
892,RØ,1276,NF/86,KH/86,1406,1494,10,1xICU
895,RØ,1277,KH/86,NF/86,1207,1291,94,1xICA
898,RØ,1281,KH/86,NF/86,1267,1351,99,1xICA
901,RØ,1285,KH/86,NF/86,1327,1415,87,1xICA
904,RØ,1289,KH/86,NF/86,1387,1475,117,1xICA
907,IC,1401,CPH/86,KH/86,12,25,74,1xEB15Talgo
910,IC,1407,CPH/86,KH/86,132,145,15,1xEB15Talgo
913,IC,1413,CPH/86,KH/86,206,219,4,1xEB15Talgo
916,IC,1417,CPH/86,KH/86,266,279,263,1xEB4DD
919,IC,1472,KH/86,CPH/86,19,32,3,1xERF
922,IC,1476,KH/86,CPH/86,79,92,22,1xERF
925,IC,1482,KH/86,CPH/86,163,177,38,1xEB4DD
928,IC,1485,CPH/86,KH/86,1286,1300,46,1xERF
931,IC,1489,CPH/86,KH/86,1346,1360,53,1xERF
934,IC,1490,KH/86,CPH/86,279,292,132,1xEB5DD
937,IC,1493,CPH/86,KH/86,1406,1420,59,1xERF
940,RØ,1500,KB/86,KK/86,270,376,115,1xICA
943,RØ,1504,KB/86,KK/86,337,427,182,1xMGA
946,RØ,1508,KB/86,HGL/86,397,493,402,2xMGA
949,RØ,1512,KB/86,KK/86,457,547,242,2xICA
952,RØ,1516,KB/86,KK/86,517,607,183,1xMGA
955,RØ,1517,KK/86,KB/86,293,385,51,1xICA
958,RØ,1520,KB/86,KK/86,577,667,99,1xICA
961,RØ,1521,HGL/86,KB/86,347,445,151,1xICA
964,RØ,1524,KB/86,KK/86,637,727,129,1xICA
967,RØ,1525,KK/86,KB/86,413,505,219,2xICA
970,RØ,1528,KB/86,KK/86,697,787,102,1xICA
973,RØ,1529,KK/86,KB/86,473,565,166,1xMGA
976,RØ,1532,KB/86,KK/86,757,847,142,1xICA
979,RØ,1533,KK/86,KB/86,533,625,95,1xICA
982,RØ,1536,KB/86,KK/86,817,907,181,1xMGA
985,RØ,1537,KK/86,KB/86,593,685,71,1xICA
988,RØ,1540,KB/86,KK/86,877,967,282,2xICA
991,RØ,1541,KH/86,KB/86,662,745,44,2xICA
994,RØ,1544,KB/86,KK/86,937,1027,220,2xICA
997,RØ,1545,KK/86,KB/86,713,805,80,1xICA
1000,RØ,1548,KB/86,KK/86,997,1087,144,1xICA
1003,RØ,1549,KK/86,KB/86,773,865,89,1xICA
1006,RØ,1552,KB/86,KK/86,1057,1147,80,1xICA
1009,RØ,1553,KK/86,KB/86,833,925,126,1xICA
1012,RØ,1556,KB/86,HGL/86,1117,1214,49,1xICA
1015,RØ,1557,KK/86,KB/86,893,985,198,1xMGA
1018,RØ,1560,KB/86,KK/86,1177,1266,100,1xICA
1021,RØ,1561,KK/86,KB/86,953,1045,280,2xICA
1024,RØ,1564,KB/86,KK/86,1237,1326,56,1xMGA
1027,RØ,1565,KK/86,KB/86,1013,1105,212,2xICA
1030,RØ,1569,KK/86,KB/86,1073,1165,132,1xICA
1033,RØ,1570,KB/86,KH/86,1310,1410,36,1xICA
1036,RØ,1573,KK/86,KB/86,1133,1225,78,1xICA
1039,RØ,1574,KB/86,KH/86,1370,1470,21,1xICA
1042,RØ,1577,KH/86,KB/86,1202,1285,75,1xMGA
1045,RØ,1581,KK/86,KB/86,1253,1346,123,1xICA
1048,RØ,1583,KK/86,KB/86,1274,1393,176,1xMGA
1051,RØ,1587,KK/86,KB/86,1343,1453,171,1xMGA
1054,RØ,1591,KH/86,KB/86,1410,1510,102,1xMGA
1057,RØ,2085,HG/86,KH/86,1258,1313,48,1xEB5DD
1060,RØ,2089,HG/86,KH/86,1318,1373,36,1xEB5DD
1063,RØ,2093,HG/86,KH/86,1378,1433,20,1xEB4DD
1066,RØ,2200,KH/86,HG/86,307,362,29,1xEB15Talgo
1069,RØ,2202,KH/86,HG/86,367,422,19,1xICU
1072,RØ,2204,NÆ/86,HG/86,358,482,229,1xEB4DD
1075,RØ,2208,NÆ/86,HG/86,418,542,481,1xEB5DD
