Reason,Station,Type,Count
Extra units deployed,FA/86,EB4DD,1
Extra units deployed,OD/86,EB4DD,1
Extra units deployed,ES/86,EB4DD,1
Extra units deployed,SDB/86,EB4DD,1
Extra units deployed,AA/80,EB4DD,1
Extra units deployed,ES/86,EB5DD,1
Extra units deployed,KD/86,ICU,1
Extra units deployed,FA/86,EB15Talgo,2
Extra units deployed,OD/86,EB15Talgo,1
Extra units deployed,RO/86,EB15Talgo,1
Extra units deployed,HK/86,EB15Talgo,1
